news_source,mfch_rating,allsides_url,url,bias_rating,twitter_link,twitter_user,twitter_user2,is_tweet,instagram_user,instagram_user2,gov_official,uncertainty,comments,html_files,actor,status_edrev,status_commfeed,count_commfeed,status_blind,status_third,sources_third,confidence
Counterpointing,,https://www.allsides.com/news-source/counterpointing,http://www.counterpointing.com/,2707,NA,NA,NA,0,NA,NA,NA,1,does not exist,Counterpointing.html,News Media,checked0,checked1,847,checked0,checked0,NA,Low or Initial Rating
CrowdPAC,,https://www.allsides.com/news-source/crowdpac,https://www.crowdpac.com/,73,https://twitter.com/Crowdpac?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Crowdpac,NA,1,NA,NA,NA,NA,NA,CrowdPAC.html,News Media,checked0,checked1,975,checked0,checked0,NA,Low or Initial Rating
CU Independent,,https://www.allsides.com/news-source/cu-independent,http://cuindependent.com/,73,https://twitter.com/the_cui,The_CUI,NA,1,NA,NA,NA,NA,NA,CU Independent.html,News Media,checked0,checked1,906,checked0,checked0,NA,Low or Initial Rating
Current Affairs,LEFT,https://www.allsides.com/news-source/current-affairs-media-bias,https://www.currentaffairs.org,71,https://twitter.com/CurAffairs,curaffairs,NA,1,curaffairsmag,NA,NA,NA,NA,Current Affairs.html,News Media,checked0,checked1,715,checked0,checked0,NA,Low or Initial Rating
Daily Beast,LEFT,https://www.allsides.com/news-source/daily-beast-media-bias,http://www.thedailybeast.com/,71,https://twitter.com/@thedailybeast,thedailybeast,NA,1,thedailybeast,NA,NA,NA,NA,Daily Beast.html,News Media,checked1,checked1,26057,checked1,checked0,NA,na
Daily Breeze,LEAST BIASED,https://www.allsides.com/news-source/daily-breeze-media-bias,https://www.dailybreeze.com/,73,https://twitter.com/DailyBreezeNews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DailyBreezeNews,NA,1,NA,NA,NA,NA,NA,Daily Breeze.html,News Media,checked0,checked1,95,checked0,checked0,NA,Low or Initial Rating
Daily Cardinal,,https://www.allsides.com/news-source/daily-cardinal,http://www.dailycardinal.com/,73,https://twitter.com/dailycardinal,dailycardinal,NA,1,dailycardinal,NA,NA,NA,NA,Daily Cardinal.html,News Media,checked0,checked1,1006,checked0,checked0,NA,Low or Initial Rating
Daily Chela,,https://www.allsides.com/news-source/daily-chela-media-bias,NA,71,https://twitter.com/dailychela,DailyChela,NA,1,NA,NA,NA,NA,NA,Daily Chela.html,News Media,checked0,checked1,110,checked0,checked0,NA,Low or Initial Rating
Daily Citizen,EXTREME RIGHT,https://www.allsides.com/news-source/daily-citizen-media-bias,https://dailycitizen.focusonthefamily.com/,75,https://twitter.com/FocusCitizen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FocusCitizen,NA,1,NA,NA,NA,NA,NA,Daily Citizen.html,News Media,checked0,checked1,159,checked0,checked0,NA,Low or Initial Rating
Daily Kos,LEFT,https://www.allsides.com/news-source/daily-kos,http://www.dailykos.com,71,https://twitter.com/DailyKos,dailykos,NA,1,dailykos,NA,NA,NA,NA,Daily Kos.html,News Media,checked0,checked1,7859,checked0,checked0,NA,Low or Initial Rating
Daily Mail,RIGHT,https://www.allsides.com/news-source/daily-mail,http://dailymail.co.uk,75,https://twitter.com/dailymail,DailyMail,DailyMailUK,1,dailymail,NA,NA,NA,NA,Daily Mail.html,News Media,checked0,checked1,18836,checked0,checked0,NA,Medium
Daily Northwestern,LEAST BIASED,https://www.allsides.com/news-source/daily-northwestern,http://dailynorthwestern.com/,72,https://twitter.com/thedailynu?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,thedailynu,NA,1,NA,NA,NA,NA,NA,Daily Northwestern.html,News Media,checked0,checked1,879,checked0,checked0,NA,Low or Initial Rating
