news_source,mfch_rating,allsides_url,url,bias_rating,twitter_link,twitter_user,twitter_user2,is_tweet,instagram_user,instagram_user2,gov_official,uncertainty,comments,html_files,actor,status_edrev,status_commfeed,count_commfeed,status_blind,status_third,sources_third,confidence
Aaron Rupar,,https://www.allsides.com/news-source/aaron-rupar-media-bias,NA,71,https://twitter.com/atrupar,atrupar,NA,1,NA,NA,NA,NA,NA,Aaron Rupar.html,Author,checked0,checked1,117,checked0,checked0,NA,Low or Initial Rating
Aaron Withe,,https://www.allsides.com/news-source/aaron-withe-media-bias,NA,75,https://twitter.com/AaronWithe?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AaronWithe,NA,1,NA,NA,NA,NA,NA,Aaron Withe.html,Author,checked0,checked1,130,checked0,checked0,NA,Low or Initial Rating
AARP,,https://www.allsides.com/news-source/aarp-media-bias,http://www.aarp.org/,73,https://twitter.com/AARP,AARP,NA,1,aarp,NA,NA,NA,NA,AARP.html,Think Tank / Policy Group,checked0,checked1,5691,checked0,checked0,NA,na
ABC News (Online),LEFT-CENTER,https://www.allsides.com/news-source/abc-news-media-bias,http://abcnews.go.com/,72,https://twitter.com/ABC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ABC,NA,1,abcnews,NA,NA,NA,NA,ABC News (Online).html,News Media,checked0,checked1,54498,checked1,checked1,"Third-Party Analysis: 2014 Pew Research Center Study - Where News Audiences Fit on the Political Spectrum, UCLA 2005",High
Above The Law,LEFT-CENTER,https://www.allsides.com/news-source/above-law-media-bias,NA,72,https://twitter.com/atlblog?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,atlblog,NA,1,NA,NA,NA,NA,NA,Above The Law.html,News Media,checked0,checked1,431,checked0,checked0,NA,Low or Initial Rating
Abridge News,,https://www.allsides.com/news-source/abridge-news-media-bias,https://abridgenews.com,2707,https://twitter.com/Abridge_News,Abridge_News,NA,1,abridgenews,NA,NA,NA,NA,Abridge News.html,News Media,checked0,checked1,670,checked0,checked0,NA,High
Accuracy in Media,,https://www.allsides.com/news-source/accuracy-media,http://www.aim.org,75,https://twitter.com/AccuracyInMedia,AccuracyInMedia,NA,1,accuracyinmedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACLU,,https://www.allsides.com/news-source/american-civil-liberties-union,https://www.aclu.org/,72,https://twitter.com/@ACLU,ACLU,NA,1,aclu_nationwide,NA,NA,NA,NA,ACLU.html,Think Tank / Policy Group,checked0,checked1,5360,checked0,checked0,NA,na
Adam Schiff,,https://www.allsides.com/news-source/adam-schiff-media-bias,NA,72,https://twitter.com/RepAdamSchiff?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,RepAdamSchiff,NA,1,NA,NA,1,NA,NA,Adam Schiff.html,"Candidate, Campaign or Advocate",checked0,checked1,83,checked0,checked0,NA,Low or Initial Rating
AFP Fact Check,,https://www.allsides.com/news-source/afp-fact-check-media-bias,https://factcheck.afp.com/,73,https://twitter.com/AFPFactCheck,AFPFactCheck,NA,1,afpfactcheck,NA,NA,NA,NA,AFP Fact Check.html,Fact Check,checked0,checked1,308,checked0,checked0,NA,Low or Initial Rating
AJ+,,https://www.allsides.com/news-source/aj-media-bias,https://www.ajplus.net/,71,https://twitter.com/ajplus,ajplus,NA,1,ajplus,NA,NA,NA,NA,AJ+.html,News Media,checked0,checked1,846,checked0,checked0,NA,Low or Initial Rating
Al Cardenas,,https://www.allsides.com/news-source/al-cardenas,NA,75,https://twitter.com/AlCardenasFL_DC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AlCardenasFL_DC,NA,1,NA,NA,NA,NA,NA,Al Cardenas.html,Author,checked0,checked1,865,checked0,checked0,NA,na
Al Jazeera,LEFT-CENTER,https://www.allsides.com/news-source/al-jazeera-media-bias,https://www.aljazeera.com/,72,https://twitter.com/@AJEnglish,AJEnglish,NA,1,aljazeeraenglish,NA,NA,NA,NA,Al Jazeera.html,News Media,checked0,checked1,12342,checked0,checked0,NA,Low or Initial Rating
Alan Dershowitz,,https://www.allsides.com/news-source/alan-dershowitz-media-bias,NA,74,https://twitter.com/alandersh,AlanDersh,NA,1,NA,NA,NA,NA,NA,Alan Dershowitz.html,Author,checked0,checked1,689,checked0,checked0,NA,Low or Initial Rating
Alison Lundergan Grimes,,https://www.allsides.com/news-source/alison-lundergan-grimes,http://alisonforkentucky.com/,71,https://twitter.com/AlisonForKY,AlisonForKY,NA,1,alisonforky,NA,NA,NA,NA,Alison Lundergan Grimes.html,"Candidate, Campaign or Advocate",checked0,checked1,617,checked0,checked0,NA,na
AllSides,,https://www.allsides.com/news-source/allsides,http://www.allsides.com,2707,https://twitter.com/AllSidesNow,AllSidesNow,NA,1,allsidesnow,NA,NA,NA,NA,AllSides.html,News Media,checked0,checked1,5920,checked0,checked0,NA,High
AllSides Community,,https://www.allsides.com/news-source/allsides-community,NA,2707,https://twitter.com/AllSidesNow?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AllSidesNow,NA,1,NA,NA,NA,NA,NA,AllSides Community.html,News Media,checked0,checked1,4175,checked0,checked0,NA,High
AllSides Staff,,https://www.allsides.com/news-source/allsides-staff-media-bias,NA,2707,https://twitter.com/AllSidesNow?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AllSidesNow,NA,1,NA,NA,NA,NA,NA,AllSides Staff.html,Author,checked0,checked1,234,checked0,checked0,NA,Low or Initial Rating
Allysia Finley (Wall Street Journal),,https://www.allsides.com/news-source/allysia-finley,NA,75,https://twitter.com/allysiafinley,AllysiaFinley,NA,1,NA,NA,NA,NA,NA,Allysia Finley (Wall Street Journal).html,Author,checked0,checked1,1411,checked0,checked0,NA,na
AlterNet,LEFT,https://www.allsides.com/news-source/alternet-media-bias,http://www.alternet.org/,71,https://twitter.com/AlterNet,AlterNet,NA,1,alternet.media,alternet_europe,NA,NA,NA,AlterNet.html,News Media,checked0,checked1,17192,checked0,checked0,NA,High
American Association of Retired Persons,,https://www.allsides.com/news-source/american-association-retired-persons,NA,72,NA,NA,NA,0,NA,NA,NA,1,"same as AARP, but has a different bias rating, I think it is related to time variance",American Association of Retired Persons.html,,checked0,checked1,828,checked0,checked0,NA,na
American Conservative Union,,https://www.allsides.com/news-source/american-conservative-union,http://conservative.org/,75,https://twitter.com/acuconservative,ACUConservative,NA,1,NA,NA,NA,NA,NA,American Conservative Union.html,Think Tank / Policy Group,checked0,checked1,1618,checked0,checked0,NA,na
American Enterprise Institute,,https://www.allsides.com/news-source/american-enterprise-institute,NA,74,https://twitter.com/AEI?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AEI,NA,1,NA,NA,NA,NA,NA,American Enterprise Institute.html,Think Tank / Policy Group,checked0,checked1,2825,checked0,checked0,NA,Low or Initial Rating
American Greatness,RIGHT,https://www.allsides.com/news-source/american-greatness-media-bias,https://amgreatness.com/,75,https://twitter.com/theamgreatness,theamgreatness,NA,1,theamgreatness,NA,NA,NA,NA,American Greatness.html,News Media,checked0,checked1,738,checked0,checked0,NA,Low or Initial Rating
American Psychological Association,,https://www.allsides.com/news-source/american-psychological-association-media-bias,https://www.apa.org/,73,https://twitter.com/APA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,APA,NA,1,NA,NA,NA,NA,NA,American Psychological Association.html,Reference,checked0,checked1,459,checked0,checked0,NA,Low or Initial Rating
American Thinker,EXTREME RIGHT,https://www.allsides.com/news-source/american-thinker,http://www.americanthinker.com/,75,https://twitter.com/AmericanThinker,AmericanThinker,NA,1,NA,NA,NA,NA,NA,American Thinker.html,News Media,checked0,checked1,3065,checked0,checked0,NA,Medium
Americans for Democratic Action,,https://www.allsides.com/news-source/americans-democratic-action,http://www.adaction.org,71,https://twitter.com/adaction,ADAction,NA,1,NA,NA,NA,NA,NA,Americans for Democratic Action.html,Think Tank / Policy Group,checked0,checked1,1181,checked0,checked0,NA,na
Americans for Tax Reform,,https://www.allsides.com/news-source/americans-tax-reform,http://www.atr.org/,75,https://twitter.com/taxreformer?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,taxreformer,NA,1,NA,NA,NA,NA,NA,Americans for Tax Reform.html,Think Tank / Policy Group,checked0,checked1,1322,checked0,checked0,NA,na
Ammo.com,,https://www.allsides.com/news-source/ammocom-media-bias,https://ammo.com/,75,https://twitter.com/ammodotcom?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ammodotcom,NA,1,NA,NA,NA,NA,NA,Ammo.com.html,Reference,checked0,checked1,221,checked0,checked0,NA,Low or Initial Rating
Amnesty International,,https://www.allsides.com/news-source/amnesty-international,NA,72,https://twitter.com/amnesty?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,amnesty,NA,1,NA,NA,NA,NA,NA,Amnesty International.html,Think Tank / Policy Group,checked0,checked1,1487,checked0,checked0,NA,Low or Initial Rating
Amy Klobuchar,,https://www.allsides.com/news-source/amy-klobuchar-media-bias,NA,72,https://twitter.com/amyklobuchar?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,amyklobuchar,NA,1,NA,NA,1,NA,NA,Amy Klobuchar.html,"Candidate, Campaign or Advocate",checked0,checked1,111,checked0,checked0,NA,Medium
Ana Marie Cox,,https://www.allsides.com/news-source/ana-marie-cox-media-bias,http://www.anamariecox.com/,72,https://twitter.com/anamariecox?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,anamariecox,NA,1,NA,NA,NA,NA,NA,Ana Marie Cox.html,Author,checked0,checked0,61,checked0,checked0,NA,Low or Initial Rating
Andreas Raduege,,https://www.allsides.com/news-source/andreas-raduege-media-bias,NA,71,NA,NA,NA,0,NA,NA,NA,NA,NA,Andreas Raduege.html,Author,checked0,checked0,59,checked0,checked0,NA,Low or Initial Rating
Andrew C. McCarthy,,https://www.allsides.com/news-source/andrew-c-mccarthy-media-bias,NA,75,https://twitter.com/AndrewCMcCarthy?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AndrewCMcCarthy,NA,1,NA,NA,NA,NA,NA,Andrew C. McCarthy.html,Author,checked0,checked0,27,checked0,checked0,NA,Low or Initial Rating
Andrew Giuliani,,https://www.allsides.com/news-source/andrew-giuliani-media-bias,NA,74,https://twitter.com/AndrewHGiuliani?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AndrewHGiuliani,NA,1,NA,NA,1,NA,NA,Andrew Giuliani.html,Author,checked0,checked0,77,checked0,checked0,NA,Low or Initial Rating
Andrew Napolitano,,https://www.allsides.com/news-source/andrew-napolitano,NA,75,https://twitter.com/Judgenap?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Judgenap,NA,1,NA,NA,1,NA,NA,Andrew Napolitano.html,Author,checked0,checked1,2034,checked0,checked0,NA,na
Andrew Sullivan,,https://www.allsides.com/news-source/andrew-sullivan-media-bias,NA,74,https://twitter.com/sullydish?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,sullydish,NA,1,NA,NA,NA,NA,NA,Andrew Sullivan.html,Author,checked0,checked1,534,checked0,checked0,NA,na
Andrew Weinzierl,,https://www.allsides.com/news-source/andrew-weinzierl-media-bias,NA,72,https://twitter.com/ajweinz,ajweinz,NA,1,NA,NA,NA,NA,NA,Andrew Weinzierl.html,Author,checked0,checked1,90,checked0,checked0,NA,Medium
Andrew Yang,,https://www.allsides.com/news-source/andrew-yang-media-bias,NA,72,https://twitter.com/AndrewYang?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AndrewYang,NA,1,NA,NA,NA,NA,NA,Andrew Yang.html,Author,checked0,checked1,499,checked0,checked0,NA,Low or Initial Rating
Andy Meek,,https://www.allsides.com/news-source/andy-meek-media-bias,https://www.forbes.com/sites/andymeek/,72,https://twitter.com/aemeek,aemeek,NA,1,NA,NA,NA,NA,NA,Andy Meek.html,Author,checked0,checked1,96,checked0,checked0,NA,Low or Initial Rating
Andy Ngo,,https://www.allsides.com/news-source/andy-ngo-media-bias,NA,74,https://twitter.com/MrAndyNgo?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,MrAndyNgo,NA,1,NA,NA,NA,NA,NA,Andy Ngo.html,Author,checked0,checked1,910,checked0,checked0,NA,Low or Initial Rating
Ann Coulter,,https://www.allsides.com/news-source/ann-coulter,NA,75,https://twitter.com/AnnCoulter?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AnnCoulter,NA,1,NA,NA,NA,NA,NA,Ann Coulter.html,Author,checked0,checked1,2526,checked0,checked0,NA,Medium
Annafi Wahed,,https://www.allsides.com/news-source/annafi-wahed-media-bias,NA,72,https://twitter.com/annafiwahed,AnnafiWahed,NA,1,NA,NA,NA,NA,NA,Annafi Wahed.html,Author,checked0,checked1,674,checked0,checked0,NA,Low or Initial Rating
Aquinas College Saint,,https://www.allsides.com/news-source/aquinas-college-saint,http://www.aquinas.edu/thesaint/,71,https://twitter.com/aquinascollege,AquinasCollege,NA,1,NA,NA,NA,NA,NA,Aquinas College Saint.html,News Media,checked0,checked1,1685,checked0,checked0,NA,na
Arc Digital,LEAST BIASED,https://www.allsides.com/news-source/arc-digital-media-bias,https://www.arcdigital.media/,73,https://twitter.com/ArcDigi,ArcDigi,NA,1,NA,NA,NA,NA,NA,Arc Digital.html,News Media,checked0,checked0,55,checked0,checked0,NA,Low or Initial Rating
Arkadi Gerney,,https://www.allsides.com/news-source/arkadi-gerney,NA,72,https://twitter.com/agerney,agerney,NA,1,NA,NA,NA,NA,NA,Arkadi Gerney.html,Author,checked0,checked1,555,checked0,checked0,NA,Low or Initial Rating
Arkansas Democrat-Gazette,RIGHT-CENTER,https://www.allsides.com/news-source/arkansas-democrat-gazette,http://www.arkansasonline.com/,71,https://twitter.com/ArkansasOnline?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ArkansasOnline,NA,1,NA,NA,NA,NA,NA,Arkansas Democrat-Gazette.html,News Media,checked0,checked1,1919,checked0,checked0,NA,Low or Initial Rating
Associated Press,LEFT-CENTER,https://www.allsides.com/news-source/associated-press-media-bias,https://apnews.com/,73,https://twitter.com/AP,AP,NA,1,apnews,NA,NA,NA,NA,Associated Press.html,News Media,checked1,checked1,48712,checked1,checked0,NA,Medium
Associated Press Politics & Fact Check,,https://www.allsides.com/news-source/ap-fact-check-media-bias,https://apnews.com/APFactCheck,72,https://twitter.com/APFactCheck,APFactCheck,NA,1,NA,NA,NA,NA,NA,Associated Press Politics & Fact Check.html,Fact Check,checked1,checked1,10073,checked0,checked0,NA,Medium
Association for Psychological Science,,https://www.allsides.com/news-source/association-psychological-science,http://www.psychologicalscience.org/,73,https://twitter.com/PsychScience?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,PsychScience,NA,1,NA,NA,NA,NA,NA,Association for Psychological Science.html,Think Tank / Policy Group,checked0,checked1,1570,checked0,checked0,NA,Low or Initial Rating
Atlanta Black Star,LEFT-CENTER,https://www.allsides.com/news-source/atlanta-black-star-media-bias,NA,72,https://twitter.com/ATLBlackStar?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ATLBlackStar,NA,1,NA,NA,NA,NA,NA,Atlanta Black Star.html,News Media,checked0,checked1,274,checked0,checked0,NA,Low or Initial Rating
Atlanta Journal-Constitution,LEFT-CENTER,https://www.allsides.com/news-source/atlanta-journal-constitution,http://www.ajc.com/,72,https://twitter.com/ajc,ajc,NA,1,ajcnews,NA,NA,NA,NA,Atlanta Journal-Constitution.html,News Media,checked0,checked1,2128,checked0,checked0,NA,Low or Initial Rating
Atlas Network,,https://www.allsides.com/news-source/atlas-network,https://www.atlasnetwork.org/,75,https://twitter.com/AtlasNetwork?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AtlasNetwork,NA,1,NA,NA,NA,NA,NA,Atlas Network.html,Think Tank / Policy Group,checked0,checked1,806,checked0,checked0,NA,Medium
AtlasOne,,https://www.allsides.com/news-source/atlasone,http://atlasone.org/,74,NA,NA,NA,0,NA,NA,NA,NA,NA,AtlasOne.html,Think Tank / Policy Group,checked0,checked1,655,checked0,checked0,NA,Medium
Austin American-Statesman,LEFT-CENTER,https://www.allsides.com/news-source/austin-american-statesman,http://www.mystatesman.com/,72,https://twitter.com/statesman,statesman,NA,1,statesman,NA,NA,NA,NA,Austin American-Statesman.html,News Media,checked0,checked1,1720,checked0,checked0,NA,Low or Initial Rating
Avanti Giridharan,,https://www.allsides.com/news-source/avanti-giridharan-media-bias,https://muckrack.com/avanti-giridharan,73,NA,NA,NA,0,NA,NA,NA,NA,NA,Avanti Giridharan.html,Author,checked0,checked1,111,checked0,checked0,NA,Low or Initial Rating
Axios,LEFT-CENTER,https://www.allsides.com/news-source/axios,https://www.axios.com/,73,https://twitter.com/@axios,axios,NA,1,axios,NA,NA,NA,NA,Axios.html,News Media,checked0,checked1,13233,checked1,checked0,NA,Medium
AZ Central,LEFT-CENTER,https://www.allsides.com/news-source/az-central-media-bias,https://www.azcentral.com/,73,https://twitter.com/azcentral,azcentral,NA,1,azcentral,NA,NA,NA,NA,AZ Central.html,News Media,checked0,checked1,734,checked0,checked0,NA,na
Babylon Bee (Humor),RIGHT-SATIRE,https://www.allsides.com/news-source/babylon-bee-media-bias,https://babylonbee.com/,74,https://twitter.com/thebabylonbee,TheBabylonBee,NA,1,NA,NA,NA,NA,NA,Babylon Bee (Humor).html,News Media,checked1,checked1,879,checked0,checked0,NA,Medium
Ballotpedia,,https://www.allsides.com/news-source/ballotpedia,http://ballotpedia.org/,73,https://twitter.com/ballotpedia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ballotpedia,NA,1,NA,NA,NA,NA,NA,Ballotpedia.html,Reference,checked0,checked1,1188,checked0,checked0,NA,Medium
Barack Obama,,https://www.allsides.com/news-source/barack-obama,NA,72,https://twitter.com/BarackObama?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BarackObama,NA,1,NA,NA,NA,NA,NA,Barack Obama.html,"Candidate, Campaign or Advocate",checked0,checked1,1927,checked0,checked0,NA,na
Bari Weiss,,https://www.allsides.com/news-source/bari-weiss-media-bias,NA,73,https://twitter.com/bariweiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,bariweiss,NA,1,NA,NA,NA,NA,NA,Bari Weiss.html,Author,checked0,checked1,247,checked0,checked0,NA,Medium
Barnstable Patriot,,https://www.allsides.com/news-source/barnstable-patriot,http://www.barnstablepatriot.com/,73,https://twitter.com/barnpat,BarnPat,NA,1,NA,NA,NA,NA,NA,Barnstable Patriot.html,News Media,checked0,checked1,1321,checked0,checked0,NA,Low or Initial Rating
BBC Fact Check,,https://www.allsides.com/news-source/reality-check-bbc-media-bias,https://www.bbc.com/news/reality_check,73,https://twitter.com/bbcfactcheck,BBCFactCheck,BBCRealityCheck,1,NA,NA,NA,NA,NA,BBC Fact Check.html,Fact Check,checked1,checked1,205,checked0,checked0,NA,Medium
BBC News,LEFT-CENTER,https://www.allsides.com/news-source/bbc-news-media-bias,http://www.bbc.com/,73,https://twitter.com/bbcworld,bbcworld,bbcbreaking,1,bbcnews,"bbc, bbcworldstories",NA,NA,NA,BBC News.html,News Media,checked1,checked1,55594,checked1,checked1,Third-Party Analysis: 2014 Pew Research Center Study - Where News Audiences Fit on the Political Spectrum,Medium
Bearing Drift,,https://www.allsides.com/news-source/bearing-drift,http://www.bearingdrift.com,75,https://twitter.com/bearingdrift?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,bearingdrift,NA,1,NA,NA,NA,NA,NA,Bearing Drift.html,News Media,checked0,checked1,1361,checked0,checked0,NA,High
Bella Jasper,,https://www.allsides.com/news-source/bella-jasper-media-bias,NA,72,NA,NA,NA,0,NA,NA,NA,NA,NA,Bella Jasper.html,Author,checked0,checked1,108,checked0,checked0,NA,Low or Initial Rating
Ben Sargent (cartoonist),,https://www.allsides.com/news-source/ben-sargent-cartoonist,NA,71,NA,NA,NA,0,NA,NA,NA,NA,NA,Ben Sargent (cartoonist).html,Author,checked0,checked1,597,checked0,checked0,NA,na
Ben Shapiro,,https://www.allsides.com/news-source/ben-shapiro,NA,75,https://twitter.com/benshapiro?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,benshapiro,NA,1,NA,NA,NA,NA,NA,Ben Shapiro.html,Author,checked0,checked1,4323,checked0,checked0,NA,na
Ben Stein,,https://www.allsides.com/news-source/ben-stein,NA,74,https://twitter.com/benstein1944,BenStein1944,NA,1,NA,NA,NA,NA,NA,Ben Stein.html,Author,checked0,checked1,1360,checked0,checked0,NA,na
Bernie Goldberg,,https://www.allsides.com/news-source/bernie-goldberg-media-bias,NA,74,https://twitter.com/BernardGoldberg?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BernardGoldberg,NA,1,NA,NA,NA,NA,NA,Bernie Goldberg.html,Author,checked0,checked1,113,checked0,checked0,NA,Low or Initial Rating
Bernie Sanders,,https://www.allsides.com/news-source/bernie-sanders-media-bias,NA,71,https://twitter.com/BernieSanders?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BernieSanders,NA,1,NA,NA,1,NA,NA,Bernie Sanders.html,"Candidate, Campaign or Advocate",checked0,checked0,72,checked0,checked0,NA,Low or Initial Rating
BET,,https://www.allsides.com/news-source/bet-media-bias,NA,72,https://twitter.com/BET,BET,NA,1,NA,NA,NA,NA,NA,BET.html,News Media,checked0,checked1,728,checked0,checked0,NA,Low or Initial Rating
Beth Ballentine,,https://www.allsides.com/news-source/beth-ballentine,NA,73,NA,NA,NA,0,NA,NA,NA,NA,NA,Beth Ballentine.html,Author,checked0,checked1,861,checked0,checked0,NA,Low or Initial Rating
Beth Hicks,,https://www.allsides.com/news-source/beth-hicks-media-bias,NA,75,https://twitter.com/bethghicks,BethGHicks,NA,1,NA,NA,NA,NA,NA,Beth Hicks.html,Author,checked0,checked0,70,checked0,checked0,NA,Low or Initial Rating
Betsy DeVos,,https://www.allsides.com/news-source/betsy-devos-media-bias,https://en.wikipedia.org/wiki/Betsy_DeVos,75,https://twitter.com/betsydevosed,betsydevosed,NA,1,betsydevosed,NA,NA,NA,NA,Betsy DeVos.html,"Candidate, Campaign or Advocate",checked0,checked1,95,checked0,checked0,NA,Low or Initial Rating
Better Government Association,,https://www.allsides.com/news-source/better-government-association-media-bias,NA,73,https://twitter.com/BetterGov?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BetterGov,NA,1,NA,NA,NA,NA,NA,Better Government Association.html,Think Tank / Policy Group,checked0,checked1,144,checked0,checked0,NA,Low or Initial Rating
Biblical Gender Roles,,https://www.allsides.com/news-source/biblical-gender-roles-media-bias,NA,75,https://twitter.com/BibGen1?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BibGen1,NA,1,NA,NA,NA,NA,NA,Biblical Gender Roles.html,News Media,checked0,checked1,250,checked0,checked0,NA,Low or Initial Rating
Biblical Sexology,,https://www.allsides.com/news-source/biblical-sexology-media-bias,NA,75,NA,NA,NA,0,NA,NA,NA,NA,NA,Biblical Sexology.html,News Media,checked0,checked1,211,checked0,checked0,NA,Low or Initial Rating
Bill Cassidy,,https://www.allsides.com/news-source/bill-cassidy,https://billcassidy.com/elect-a-real-conservative/,75,https://twitter.com/BillCassidy,BillCassidy,NA,1,bill_cassidy,NA,NA,NA,NA,Bill Cassidy.html,"Candidate, Campaign or Advocate",checked0,checked1,499,checked0,checked0,NA,na
Billy Binion,,https://www.allsides.com/news-source/billy-binion,NA,73,https://twitter.com/billybinion?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,billybinion,NA,1,NA,NA,NA,NA,NA,Billy Binion.html,Author,checked0,checked1,566,checked0,checked0,NA,Medium
Bizpac Review,RIGHT,https://www.allsides.com/news-source/bizpac-review-media-bias,NA,75,https://twitter.com/BIZPACReview?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BIZPACReview,NA,1,NA,NA,NA,NA,NA,Bizpac Review.html,News Media,checked0,checked1,200,checked0,checked0,NA,Low or Initial Rating
Black Enterprise,LEFT-CENTER,https://www.allsides.com/news-source/black-enterprise-media-bias,NA,72,https://twitter.com/blackenterprise?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,blackenterprise,NA,1,NA,NA,NA,NA,NA,Black Enterprise.html,News Media,checked0,checked1,254,checked0,checked0,NA,na
Block Club Chicago,,https://www.allsides.com/news-source/book-club-chicago-media-bias,https://blockclubchicago.org/,71,https://twitter.com/BlockClubCHI?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BlockClubCHI,NA,1,NA,NA,NA,NA,NA,Block Club Chicago.html,News Media,checked0,checked1,161,checked0,checked0,NA,Low or Initial Rating
Bloomberg,LEFT-CENTER,https://www.allsides.com/news-source/bloomberg-media-bias,http://www.bloomberg.com/,72,https://twitter.com/@business,business,NA,1,bloombergbusiness,NA,NA,NA,NA,Bloomberg.html,News Media,checked0,checked1,37626,checked1,checked0,NA,Medium
Blue Virginia,,https://www.allsides.com/news-source/blue-virginia,http://www.bluevirginia.us,71,https://twitter.com/bluevirginia,bluevirginia,NA,1,NA,NA,NA,NA,NA,Blue Virginia.html,News Media,checked0,checked1,1483,checked0,checked0,NA,na
Bob Barr,,https://www.allsides.com/news-source/bob-barr-media-bias,NA,75,https://twitter.com/bobbarr,bobbarr,NA,1,NA,NA,1,NA,NA,Bob Barr.html,Author,checked0,checked1,109,checked0,checked0,NA,Low or Initial Rating
Bob Gorrell (cartoonist),,https://www.allsides.com/news-source/bob-gorrell-cartoonist,NA,75,https://twitter.com/gorrellart,GorrellArt,NA,1,NA,NA,NA,NA,NA,Bob Gorrell (cartoonist).html,Author,checked0,checked1,605,checked0,checked0,NA,na
Bobby Rush,,https://www.allsides.com/news-source/bobby-rush-media-bias,NA,72,https://twitter.com/RepBobbyRush?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,RepBobbyRush,NA,1,NA,NA,1,NA,NA,Bobby Rush.html,"Candidate, Campaign or Advocate",checked0,checked0,70,checked0,checked0,NA,Low or Initial Rating
Boing Boing,LEFT,https://www.allsides.com/news-source/boing-boing,http://boingboing.net/,71,https://twitter.com/boingboing,boingboing,NA,1,boingboing,NA,NA,NA,NA,Boing Boing.html,News Media,checked0,checked1,1649,checked0,checked0,NA,Low or Initial Rating
Bonnie Kristian,,https://www.allsides.com/news-source/bonnie-kristian-media-bias,NA,73,https://twitter.com/bonniekristian,bonniekristian,NA,1,NA,NA,NA,NA,NA,Bonnie Kristian.html,Author,checked0,checked0,63,checked0,checked0,NA,Low or Initial Rating
