"","X.x","image","img_name_noext","clusterid","selected","tweet_id","X.y","author_id","text","created_at.x","location","name","username","actor","allsides_url","bias_rating","ideology"
"17",95,"1055134400734789632.jpg","1055134400734789632",1,1,"1055134400734789632",3243,9677372,"🎧 ON AIR: More than 7,000 Central Americans have joined a migrant caravan heading north toward the U.S.-Mexico border. https://t.co/oTVLAFMiYR @KQEDForum 88.5 FM https://t.co/dTPR8oj5yt","2018-10-24T16:30:19.000Z","San Francisco, CA","KQED","KQED","News Media","https://www.allsides.com/news-source/kqed",73,"Moderate"
"18",100,"981189179852972032.jpg","981189179852972032",3,1,"981189179852972032",4669,39308549,"Mexico Breaks Up Caravan Of Migrants Headed For US Border https://t.co/0d01jjRSu7 https://t.co/Euz4YI0REI","2018-04-03T15:18:24.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"19",111,"1067069229772337152.jpg","1067069229772337152",4,1,"1067069229772337152",1129,237888723,"‘Puzzled’ Democratic congressman bashes Fox News for covering migrant caravan https://t.co/YkLfFl8Ku8 https://t.co/Qoi5oRhccN","2018-11-26T14:55:04.000Z","West Palm Beach, Florida","Conservative News","BIZPACReview","News Media","https://www.allsides.com/news-source/bizpac-review-media-bias",75,"Very
Conservative"
"20",117,"1078380057549262848.jpg","1078380057549262848",1,1,"1078380057549262848",5091,2884771,"New migrant caravan? 15,000 Hondurans are reportedly expected to arrive in Mexico https://t.co/JxI556f0bi https://t.co/MK9zjEa5u6","2018-12-27T20:00:15.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"21",123,"1062552216261804032.jpg","1062552216261804032",3,1,"1062552216261804032",4518,39308549,"Filmmaker Ami Horowitz Embedded Himself In The Migrant Caravan https://t.co/LGDtp2zkcq https://t.co/K6VqPvH88S","2018-11-14T03:46:04.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"22",124,"1351261231366234114.jpg","1351261231366234114",2,1,"1351261231366234114",5035,17469289,"Migrant caravan stopped near Guatemala border on their way to the US https://t.co/5ujLS1UqBY https://t.co/pcKGDHUPDe","2021-01-18T20:12:37.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"23",141,"1454629316172595203.jpg","1454629316172595203",0,1,"1454629316172595203",3310,1652541,"Migrant caravan in southern Mexico to pause over health concerns https://t.co/d3tDWrZuUM https://t.co/XtQMSrWQwM","2021-10-31T02:00:29.000Z","Around the world","Reuters","Reuters","News Media","https://www.allsides.com/news-source/reuters",73,"Moderate"
"24",142,"1067030222401351680.jpg","1067030222401351680",0,1,"1067030222401351680",5167,2884771,"If Beto O'Rourke was president, here's how he would handle migrant caravan https://t.co/8qLJhbf2ax https://t.co/cRVGy4Qn5H","2018-11-26T12:20:04.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"25",148,"1056720020070260737.jpg","1056720020070260737",2,1,"1056720020070260737",4272,17348525,"Migrant caravan rests; 2nd group seeks entry into Mexico. https://t.co/wAEz5hbams https://t.co/g9690ZZJQM","2018-10-29T01:31:00.000Z","Minneapolis, MN","Star Tribune","StarTribune","News Media","https://www.allsides.com/news-source/star-tribune-media-bias",72," Moderate
Liberal"
"26",154,"1065015193774813185.jpg","1065015193774813185",1,1,"1065015193774813185",5181,2884771,"Trump administration is spying on migrant caravan with paid informants and infiltrating WhatsApp groups https://t.co/3XeP9eQlG0 https://t.co/4ItIGtVshr","2018-11-20T22:53:03.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"27",156,"982668122137219073.jpg","982668122137219073",0,1,"982668122137219073",1457,13115682,"One mom said she hoped to continue on to Tijuana, and after that maybe they would try and cross over into the U.S. and apply for asylum. https://t.co/QmCT2zSgBC https://t.co/bxoGfBea93","2018-04-07T17:15:12.000Z","Phoenix, AZ","azcentral","azcentral","News Media","https://www.allsides.com/news-source/az-central-media-bias",73,"Moderate"
"28",158,"1052655258130964480.jpg","1052655258130964480",0,1,"1052655258130964480",2985,1917731,"Honduran migrant caravan Trump called to be stopped grows to 4,000 https://t.co/MVX3O3PpJc https://t.co/27eNf3l3y0","2018-10-17T20:19:05.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"29",168,"1062816374702120968.jpg","1062816374702120968",2,1,"1062816374702120968",3178,5513142,"Separate migrant caravan groups arrive at U.S.-Mexico border https://t.co/NMOyChZorq https://t.co/wVa9K0IGgf","2018-11-14T21:15:44.000Z","Los Angeles, California","L.A. Daily News","ladailynews","News Media","https://www.allsides.com/news-source/los-angeles-daily-news-media-bias",73,"Moderate"
"30",171,"1469155152036777984.jpg","1469155152036777984",3,1,"1469155152036777984",3300,1652541,"Migrant caravan brings highway in central Mexico to stand still https://t.co/ry4dBDfo8y https://t.co/dSYPBIfMT6","2021-12-10T04:00:58.000Z","Around the world","Reuters","Reuters","News Media","https://www.allsides.com/news-source/reuters",73,"Moderate"
"31",180,"1139668897999839233.jpg","1139668897999839233",0,1,"1139668897999839233",1055,4970411,"How a little-known town is being used to ferry migrants across the border between Guatemala and Mexico https://t.co/zhcPKprzOt https://t.co/gzdOJPfLrB","2019-06-14T23:00:13.000Z","Doha, Qatar","Al Jazeera English","AJEnglish","News Media","https://www.allsides.com/news-source/al-jazeera-media-bias",72," Moderate
Liberal"
"32",181,"980689808975712257.jpg","980689808975712257",3,1,"980689808975712257",2580,759251,"Their journey north sparked a Trump tweetstorm https://t.co/AbdtfWLVJ4 https://t.co/IGlfU3WC4F","2018-04-02T06:14:05.000Z",NA,"CNN","CNN","News Media","https://www.allsides.com/news-source/cnn-media-bias",71,"  Very
Liberal"
"33",193,"1057644659181268993.jpg","1057644659181268993",1,1,"1057644659181268993",5292,2884771,"EXCLUSIVE: Migrant caravan troop deployment could cost $50 million despite no evidence of terrorists, major gang presence https://t.co/Tx7VQq1Ok2 https://t.co/MQiCQO3u1W","2018-10-31T14:45:11.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"34",204,"1052914986803191808.jpg","1052914986803191808",3,1,"1052914986803191808",4344,17348525,"Trump threatens to 'close border' over Central America caravan. https://t.co/ACUmwlWLb3 https://t.co/mnhyJM6zHx","2018-10-18T13:31:09.000Z","Minneapolis, MN","Star Tribune","StarTribune","News Media","https://www.allsides.com/news-source/star-tribune-media-bias",72," Moderate
Liberal"
"35",214,"1058424005609308163.jpg","1058424005609308163",0,1,"1058424005609308163",275,1917731,"JUST IN: Migrant caravan members sue Trump, Sessions over proposed border policies https://t.co/noNNTLMT3q https://t.co/vaYZGWXDvP","2018-11-02T18:22:02.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"36",226,"991663740662833152_2.jpg","991663740662833152_2",0,1,"991663740662833152",3273,16664681,"More members of Central American caravan processed by Border Patrol as they seek asylum https://t.co/iWi23RSi7k https://t.co/ruRG7HzIPv","2018-05-02T13:00:34.000Z","El Segundo, CA","Los Angeles Times","latimes","News Media","https://www.allsides.com/news-source/los-angeles-times-bias",72," Moderate
Liberal"
"37",235,"1057443051457499137.jpg","1057443051457499137",0,1,"1057443051457499137",4259,36511031,"Migrant caravan demands transport as 2nd group enters Mexico https://t.co/z76zSdX5XP https://t.co/9bBoHYImoV","2018-10-31T01:24:04.000Z","San Francisco","SFGATE","SFGate",NA,NA,NA,NA
"38",242,"1069931842730647554.jpg","1069931842730647554",2,1,"1069931842730647554",5132,2884771,"Caravan migrants have breached the U.S. border fence in a desperate bid to claim asylum https://t.co/GaAJg22IZ7 https://t.co/7A5Cc1qfQa","2018-12-04T12:30:04.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"39",247,"1072614429810966530.jpg","1072614429810966530",4,1,"1072614429810966530",606,14662354,"Top border security official defends using tear gas on migrant caravan https://t.co/GJrSqdcDJb https://t.co/1w3DjxFcPf","2018-12-11T22:09:42.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
