"","X.x","image","img_name_noext","clusterid","selected","tweet_id","X.y","author_id","text","created_at.x","location","name","username","actor","allsides_url","bias_rating","ideology"
"71",462,"1058102659918499841.jpg","1058102659918499841",4,1,"1058102659918499841",5275,2884771,"JUST IN: Donald Trump says if migrant caravan throws stones ""we would consider that a firearm... there’s not much difference"" https://t.co/sOxSzX1ouf https://t.co/6n2OYyCVR0","2018-11-01T21:05:07.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"72",477,"1055637494086205442.jpg","1055637494086205442",2,1,"1055637494086205442",929,14662354,"Pentagon will follow through on President Trump's pledge by sending 800 active-duty soldiers to meet a Central American migrant caravan at the border. https://t.co/O7VjqZEZVn #MigrantCaravan #MigrantMob #MigrantInvasion https://t.co/zN98UkTa1m","2018-10-26T01:49:26.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"73",484,"1001813022128656384.jpg","1001813022128656384",3,1,"1001813022128656384",4354,121817564,"Trans woman from migrant caravan dies in ICE detention https://t.co/IkaouuTjAb https://t.co/iGLZHiKzcu","2018-05-30T13:10:11.000Z",NA,"Splinter","splinter_news","News Media","https://www.allsides.com/news-source/splinter-media-bias",71,"  Very
Liberal"
"74",487,"1064006040335847424.jpg","1064006040335847424",0,1,"1064006040335847424",1577,15012486,"Mother in migrant caravan makes appeal to Trump: ""Open the doors for us, I beg you"" https://t.co/C7CtTGWK8x https://t.co/aiSWMhLkFS","2018-11-18T04:03:02.000Z","New York, NY","CBS News","CBSNews","News Media","https://www.allsides.com/news-source/cbs-news-media-bias",72," Moderate
Liberal"
"75",491,"1057067739674628096.jpg","1057067739674628096",2,1,"1057067739674628096",3218,17994536,"Pentagon sending 5,200 troops to border week before midterms
https://t.co/fkyGDobEyC https://t.co/2N8WSnku4h","2018-10-30T00:32:43.000Z","Portland, Oregon","KATU News","KATUNews","News Media","https://www.allsides.com/news-source/katu-media-bias",73,"Moderate"
"76",493,"1068252031775854592_3.jpg","1068252031775854592_3",1,1,"1068252031775854592",5142,62872266,"The Tijuana shelter housing migrants from the caravan has a maximum capacity of 3,000. Currently it's housing 5,851 migrants inside a sports complex turned shelter. These are the conditions: https://t.co/gievQEcEjF https://t.co/1PpJPXoMqf","2018-11-29T21:15:06.000Z","Coachella Valley","The Desert Sun","MyDesert","News Media","https://www.allsides.com/news-source/palm-springs-desert-sun-media-bias",73,"Moderate"
"77",503,"1054704264847806465.jpg","1054704264847806465",3,1,"1054704264847806465",431,1917731,"""Why the migrant caravan is not a border crisis"" https://t.co/UnluRqOQJv https://t.co/P3hhBDS9Gw","2018-10-23T12:01:06.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"78",510,"1055102988514156545.jpg","1055102988514156545",0,1,"1055102988514156545",2758,137776229,"Will Trump Shut Down Border to Migrant Caravan - UVA’s Lawless on LIVE https://t.co/yiBvn7258R #golocalprov #ripoli https://t.co/w34gaQLVhu","2018-10-24T14:25:29.000Z","Providence, RI","GoLocalProv","GoLocalProv","News Media","https://www.allsides.com/news-source/golocal-providence-media-bias",73,"Moderate"
"79",513,"1053650311137648640.jpg","1053650311137648640",3,1,"1053650311137648640",479,1917731,"WATCH: Migrant caravan breaks down gates at Mexican border, clashes with police https://t.co/fTH9qDSAjQ https://t.co/cj52r28Ys8","2018-10-20T14:13:04.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"80",519,"1068238488108179458.jpg","1068238488108179458",1,1,"1068238488108179458",634,14662354,"Caravan migrants won't face charges in border clash https://t.co/bvflft9mwd https://t.co/UwQiUuMKuz","2018-11-29T20:21:17.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"81",527,"1068622716826279936.jpg","1068622716826279936",0,1,"1068622716826279936",3445,1652541,"When professional collides with personal along the migrant caravan route https://t.co/z3iPerGDTa #ReutersBackstory https://t.co/3jtEQK0sgA","2018-11-30T21:48:04.000Z","Around the world","Reuters","Reuters","News Media","https://www.allsides.com/news-source/reuters",73,"Moderate"
"82",530,"1079389131610951680.jpg","1079389131610951680",0,1,"1079389131610951680",4426,39308549,"Another Central American Migrant Caravan Is Forming, But It’s Reportedly Not Heading For US https://t.co/FO7K2HpSlO https://t.co/Cfd4785Wx7","2018-12-30T14:49:57.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"83",531,"1068252031775854592_2.jpg","1068252031775854592_2",1,1,"1068252031775854592",5142,62872266,"The Tijuana shelter housing migrants from the caravan has a maximum capacity of 3,000. Currently it's housing 5,851 migrants inside a sports complex turned shelter. These are the conditions: https://t.co/gievQEcEjF https://t.co/1PpJPXoMqf","2018-11-29T21:15:06.000Z","Coachella Valley","The Desert Sun","MyDesert","News Media","https://www.allsides.com/news-source/palm-springs-desert-sun-media-bias",73,"Moderate"
"84",532,"1052341992963870720.jpg","1052341992963870720",3,1,"1052341992963870720",1866,14662354,"Honduran government begs migrant caravan to turn back https://t.co/7VBRmpMNkO https://t.co/FHg5ddL5xZ","2018-10-16T23:34:17.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"85",537,"1057310182399709184.jpg","1057310182399709184",0,1,"1057310182399709184",4762,44513878,"3/ This is Norma Leticia López. She's 21. Norma used to work at a bakery shop and says she did not make enough money to support her children.

""I want for my kids to have a better life, an education. A mother would do anything for her kids.""

https://t.co/ug8QY90w3V https://t.co/A8ibToDN6g","2018-10-30T16:36:06.000Z","Austin, Texas","Texas Tribune","TexasTribune",NA,NA,NA,NA
"86",542,"1053439145186603009.jpg","1053439145186603009",2,1,"1053439145186603009",3092,1289321,"Migrant caravan prepares to cross into Mexico https://t.co/2Kg7Nfs6TC https://t.co/q3ERJbOFbc","2018-10-20T00:13:58.000Z","East Bay","East Bay Times","EastBayTimes","News Media","https://www.allsides.com/news-source/east-bay-times",72," Moderate
Liberal"
"87",545,"1052719675564539906.jpg","1052719675564539906",1,1,"1052719675564539906",3095,16935292,"Trump Threatens to Sanction Honduras over Migrant Caravan https://t.co/lYQ1haFRY8 https://t.co/BNEmdD3JPN","2018-10-18T00:35:03.000Z","New York","Democracy Now!","democracynow",NA,NA,NA,NA
"88",550,"1464964939605430274.jpg","1464964939605430274",4,1,"1464964939605430274",1001,237888723,"As migrant caravan approaches amid Omicron scare, Homan says ‘now’s the time’ to close southern border https://t.co/4oTQCBzhmj https://t.co/cJj05leOKd","2021-11-28T14:30:33.000Z","West Palm Beach, Florida","Conservative News","BIZPACReview","News Media","https://www.allsides.com/news-source/bizpac-review-media-bias",75,"Very
Conservative"
"89",554,"1064855922730766336.jpg","1064855922730766336",2,1,"1064855922730766336",5184,2884771,"One in four Americans believes Trump claim that migrant caravan includes terrorists https://t.co/7MO9kVOHzp https://t.co/BUzeHa3TaC","2018-11-20T12:20:10.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"90",555,"1057734057084149760.jpg","1057734057084149760",1,1,"1057734057084149760",1225,110396781,"President Trump says he plans to send up to 15,000 troops to the U.S.-Mexico border in response to the migrant caravan. Critics are calling it a stunt because:
◾️ Most of them are children
◾️ It will take them months to reach the border
◾️ Many will seek asylum, which is legal https://t.co/BkxWURo7ku","2018-10-31T20:40:25.000Z",NA,"AJ+","ajplus","News Media","https://www.allsides.com/news-source/aj-media-bias",71,"  Very
Liberal"
"91",556,"1062412677526577154_1.jpg","1062412677526577154_1",2,1,"1062412677526577154",5220,62872266,"Photos: Members of the migrant caravan arrive on the outskirts of Tijuana, Mexico on Tuesday. The group of 350 migrants traveled in 9 buses on the last part of the trip from Hermosillo, Sonora. https://t.co/514TAxmBG9 https://t.co/MsvvaxhcFQ","2018-11-13T18:31:35.000Z","Coachella Valley","The Desert Sun","MyDesert","News Media","https://www.allsides.com/news-source/palm-springs-desert-sun-media-bias",73,"Moderate"
"92",558,"1056810236047249410.jpg","1056810236047249410",1,1,"1056810236047249410",2449,759251,"A look inside the journey of the US-bound caravan migrants https://t.co/JMgiqYRhxK https://t.co/QYT1j7C4jP","2018-10-29T07:29:29.000Z",NA,"CNN","CNN","News Media","https://www.allsides.com/news-source/cnn-media-bias",71,"  Very
Liberal"
"93",565,"991768858842357763.jpg","991768858842357763",0,1,"991768858842357763",3010,1917731,"Sessions sends judges, attorneys to deal with migrant caravan so they don't ""stampede our border"" https://t.co/IKDx6695qW https://t.co/ECYaYNXXc7","2018-05-02T19:58:16.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"94",572,"1069811778056540160.jpg","1069811778056540160",1,1,"1069811778056540160",4439,39308549,"Group Fellow Socialists Call ‘Violent Sect’ That ‘Dupes Mainstream’ Playing Role In Migrant Caravan https://t.co/hpXnvjqehX https://t.co/1cpTBEeJQl","2018-12-04T04:32:58.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"95",574,"1196172170927304704.jpg","1196172170927304704",1,1,"1196172170927304704",4135,14148802,"One year later: The unpredicted legacy of the migrant caravan https://t.co/XWTRpnGPCk [Top Stories] https://t.co/dZhi0CNqyt","2019-11-17T21:04:04.000Z","San Diego, CA","The San Diego Union-Tribune","sdut","News Media","https://www.allsides.com/news-source/san-diego-union-tribune-media-bias-0",72," Moderate
Liberal"
"96",584,"1183189659532308482.jpg","1183189659532308482",1,1,"1183189659532308482",3380,1652541,"Mexico military police halt migrant caravan on its way to U.S. https://t.co/AQgifd6EXs https://t.co/UXNG8QyZrr","2019-10-13T01:16:12.000Z","Around the world","Reuters","Reuters","News Media","https://www.allsides.com/news-source/reuters",73,"Moderate"
"97",593,"981350696225267712.jpg","981350696225267712",1,1,"981350696225267712",4380,2884771,"Mexico's migrant caravan stopped well before Trump threatened to militarize the U.S. border https://t.co/7Ew3CO5r07 https://t.co/5b4OftngHi","2018-04-04T02:00:13.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"98",597,"1060665537859072000.jpg","1060665537859072000",1,1,"1060665537859072000",762,14662354,"Migrant caravan refuses offers to stay in Mexico, demands buses to U.S. border https://t.co/FFec7sChpg https://t.co/cUALxMTrFt","2018-11-08T22:49:05.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"99",601,"1062412677526577154_3.jpg","1062412677526577154_3",1,1,"1062412677526577154",5220,62872266,"Photos: Members of the migrant caravan arrive on the outskirts of Tijuana, Mexico on Tuesday. The group of 350 migrants traveled in 9 buses on the last part of the trip from Hermosillo, Sonora. https://t.co/514TAxmBG9 https://t.co/MsvvaxhcFQ","2018-11-13T18:31:35.000Z","Coachella Valley","The Desert Sun","MyDesert","News Media","https://www.allsides.com/news-source/palm-springs-desert-sun-media-bias",73,"Moderate"
"100",616,"1103503562141822977.jpg","1103503562141822977",0,1,"1103503562141822977",73,1917731,"Trump admin secretly tracked journalists covering migrant caravan: report https://t.co/bult860Ycv https://t.co/ntKoXAz9b5","2019-03-07T03:52:05.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"101",621,"1054022769149530112.jpg","1054022769149530112",3,1,"1054022769149530112",467,8736882,"Central American migrant caravan swells to 5,000 people, resumes advance toward U.S. https://t.co/okDEhcj8mO https://t.co/El1Bo7VAvl","2018-10-21T14:53:05.000Z","Canada","The Globe and Mail","globeandmail","News Media","https://www.allsides.com/news-source/globe-and-mail-media-bias",73,"Moderate"
"102",622,"1054452338688225281.jpg","1054452338688225281",0,1,"1054452338688225281",1804,7309052,"Trump  has made clear that the caravan is now firmly part of his midterm strategy, telling voters at a rally in Montana: “This will be an election of Kavanaugh, the caravan, law and order and common sense"" https://t.co/w8BKzev11V https://t.co/omx9PYBSa4","2018-10-22T19:20:02.000Z","New York City","Yahoo News","YahooNews","News Media","https://www.allsides.com/news-source/yahoo-news-media-bias",72," Moderate
Liberal"
"103",623,"1053160832190873600.jpg","1053160832190873600",2,1,"1053160832190873600",1732,15012486,"Migrants in caravan set sights on Mexico border amid Trump threats https://t.co/9xp2dCPszt https://t.co/vNPN1pE9VO","2018-10-19T05:48:03.000Z","New York, NY","CBS News","CBSNews","News Media","https://www.allsides.com/news-source/cbs-news-media-bias",72," Moderate
Liberal"
"104",626,"1055425075191652352.jpg","1055425075191652352",4,1,"1055425075191652352",4590,39308549,"Border Patrol Union Chief’s Solution For Migrant Caravan Shows How Severe The Issue Really Is https://t.co/z7jA9bO4bw https://t.co/FXH5raf0Ro","2018-10-25T11:45:21.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"105",629,"1065322290353713154.jpg","1065322290353713154",2,1,"1065322290353713154",4495,39308549,"New Photos Of Trump’s Hardening Border Enforcement In Wake Of The Migrant Caravan https://t.co/CgvegIwHzm https://t.co/UInM5dXQ7m","2018-11-21T19:13:21.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"106",638,"1070761631049646080.jpg","1070761631049646080",2,1,"1070761631049646080",5125,1209936918,"Pregnant teen from migrant caravan gives birth to ‘anchor baby’ after scaling border fence - https://t.co/rLhz4wXcMO #OANN https://t.co/j2M6i4LCXY","2018-12-06T19:27:21.000Z",NA,"One America News","OANN","News Media","https://www.allsides.com/news-source/one-america-news-network-media-bias",75,"Very
Conservative"
"107",640,"1350845400798916610.jpg","1350845400798916610",3,1,"1350845400798916610",3355,1652541,"Guatemalan forces clash with major U.S.-bound migrant caravan https://t.co/BB6E2gDUUm https://t.co/YFUfscxegm","2021-01-17T16:40:15.000Z","Around the world","Reuters","Reuters","News Media","https://www.allsides.com/news-source/reuters",73,"Moderate"
"108",643,"991410722017042432.jpg","991410722017042432",0,1,"991410722017042432",3275,16664681,"More members of Central American caravan processed by Border Patrol as they seek asylum https://t.co/njqHjVwawu https://t.co/BDn1U8yCGe","2018-05-01T20:15:10.000Z","El Segundo, CA","Los Angeles Times","latimes","News Media","https://www.allsides.com/news-source/los-angeles-times-bias",72," Moderate
Liberal"
"109",655,"1052934849227620354.jpg","1052934849227620354",1,1,"1052934849227620354",5473,2884771,"Donald Trump threatens military action, border shutdown to stop ""onslaught"" of migrant caravan https://t.co/biJg9LIMSG https://t.co/feAzsgexFL","2018-10-18T14:50:05.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"110",659,"1065022502865387520.jpg","1065022502865387520",2,1,"1065022502865387520",2007,9763482,"Troops at Mexican border could be sent home before migrant caravan arrives https://t.co/1aLECf51IY https://t.co/v0zRhBFeEV","2018-11-20T23:22:06.000Z","New York / fb.com/nydailynews","New York Daily News","NYDailyNews","News Media","https://www.allsides.com/news-source/new-york-daily-news",71,"  Very
Liberal"
"111",663,"1067209140202803201.jpg","1067209140202803201",0,1,"1067209140202803201",2612,89485180,".@Ocasio2018 carelessly compares members of migrant caravan to Jews fleeing Nazi Germany. 

https://t.co/5Y37I1R5wy https://t.co/KHvwaeiuV9","2018-11-27T00:11:01.000Z","Los Angeles, CA","FrontPage Magazine","fpmag","News Media","https://www.allsides.com/news-source/frontpage-magazine",75,"Very
Conservative"
"112",664,"1052213117000675328.jpg","1052213117000675328",1,1,"1052213117000675328",2999,8736882,"Trump threatens to cut U.S. aid to Honduras over migrant caravan https://t.co/ORHnD3Oiq7 https://t.co/3SdSyjjB8U","2018-10-16T15:02:10.000Z","Canada","The Globe and Mail","globeandmail","News Media","https://www.allsides.com/news-source/globe-and-mail-media-bias",73,"Moderate"
"113",666,"1054629836986171392.jpg","1054629836986171392",4,1,"1054629836986171392",996,14790524,"Trump says he’s cutting off aid to Guatemala, Honduras and El Salvador over migrant caravan https://t.co/FkW0ooBWmB https://t.co/2D49ksdwho","2018-10-23T07:05:21.000Z","Chicago, IL","WGN TV News","WGNNews","News Media","https://www.allsides.com/news-source/wgn-media-bias",73,"Moderate"
"114",672,"1054435788761501698.jpg","1054435788761501698",4,1,"1054435788761501698",2183,9763482,".@realdDonaldTrump claims without evidence that migrant caravan includes 'criminals and unknown Middle Easterners' 
https://t.co/mbM2VIA2WG https://t.co/Dc3VZzr49C","2018-10-22T18:14:17.000Z","New York / fb.com/nydailynews","New York Daily News","NYDailyNews","News Media","https://www.allsides.com/news-source/new-york-daily-news",71,"  Very
Liberal"
"115",675,"1068252031775854592_1.jpg","1068252031775854592_1",1,1,"1068252031775854592",5142,62872266,"The Tijuana shelter housing migrants from the caravan has a maximum capacity of 3,000. Currently it's housing 5,851 migrants inside a sports complex turned shelter. These are the conditions: https://t.co/gievQEcEjF https://t.co/1PpJPXoMqf","2018-11-29T21:15:06.000Z","Coachella Valley","The Desert Sun","MyDesert","News Media","https://www.allsides.com/news-source/palm-springs-desert-sun-media-bias",73,"Moderate"
"116",693,"1055924539048235009.jpg","1055924539048235009",1,1,"1055924539048235009",2117,19417492,"The Caravan Exposes the Democrats | https://t.co/8UX477OuZF via @michaelbd https://t.co/SjpwXH9sKJ","2018-10-26T20:50:02.000Z","New York","National Review","NRO",NA,NA,NA,NA
"117",725,"1061615853265924096.jpg","1061615853265924096",3,1,"1061615853265924096",757,14662354,"Migrant caravan departs Mexico City, sets sights on Tijuana https://t.co/98qGquOcFw https://t.co/RiK7VAd3zf","2018-11-11T13:45:17.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"118",726,"981497889267515392_1.jpg","981497889267515392_1",1,1,"981497889267515392",2300,14173315,"PHOTOS: Life inside the migrant caravans at the center of a Trump tweetstorm on immigration. https://t.co/StrCnnK25n https://t.co/NPUPrOXDoA","2018-04-04T11:45:06.000Z","New York, NY","NBC News","NBCNews","News Media","https://www.allsides.com/news-source/nbc-news-media-bias",72," Moderate
Liberal"
"119",738,"982405722242564096.jpg","982405722242564096",1,1,"982405722242564096",4122,16273831,"Migrant Caravan, Down by Almost Half, Soldiers on Through Mexico https://t.co/798UDQ01h8 https://t.co/CvreAq3lsI","2018-04-06T23:52:31.000Z",NA,"The Voice of America","VOANews","News Media","https://www.allsides.com/news-source/voice-america",73,"Moderate"
"120",739,"1055053811662897152.jpg","1055053811662897152",2,1,"1055053811662897152",5382,2884771,"Fox host Laura Ingraham suggests migrant caravan asylum seekers may spread disease https://t.co/hM8rCtkDcZ https://t.co/Ko52Q21bKm","2018-10-24T11:10:05.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"121",741,"1053437778074038272.jpg","1053437778074038272",3,1,"1053437778074038272",5456,1209936918,"Migrant Caravan Clash With Mexican Police, Break Down Border Fence - https://t.co/0IueRd99Fi #OAN https://t.co/Ua2RVuL3S9","2018-10-20T00:08:32.000Z",NA,"One America News","OANN","News Media","https://www.allsides.com/news-source/one-america-news-network-media-bias",75,"Very
Conservative"
"122",752,"1091004908264935425.jpg","1091004908264935425",1,1,"1091004908264935425",4414,39308549,"Trump Vows To Stop Incoming Migrant Caravan, But Says A Wall Would Make It ‘Soooo Much Easier’ https://t.co/5QgQcRUtDe https://t.co/7TWZKppnGl","2019-01-31T16:06:54.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"123",764,"1054304111615717378.jpg","1054304111615717378",4,1,"1054304111615717378",5440,17469289,"Trump says US will ""turn away"" migrant caravan at border https://t.co/ircfaQpytz https://t.co/O6ANrm7ZAZ","2018-10-22T09:31:02.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"124",765,"1052295379448995840.jpg","1052295379448995840",1,1,"1052295379448995840",2539,759251,"Another migrant caravan is heading to the US, and President Trump has already taken note https://t.co/eCorAL6ROk https://t.co/RmpzPJ1kwH","2018-10-16T20:29:03.000Z",NA,"CNN","CNN","News Media","https://www.allsides.com/news-source/cnn-media-bias",71,"  Very
Liberal"
"125",768,"1052599389049503744.jpg","1052599389049503744",4,1,"1052599389049503744",2986,1917731,"Dem lawmaker: Trump threat to cut aid to Honduras over migrant caravan is ""not going to work"" https://t.co/MQ3MjKUgIM https://t.co/J6IKYcB69L","2018-10-17T16:37:05.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"126",776,"1075798094665650176.jpg","1075798094665650176",3,1,"1075798094665650176",3053,16935292,"Mexico: 2 Honduran Teenagers Who Traveled with Migrant Caravan Killed https://t.co/nR4NP3H4cT https://t.co/sRK0LdB2lS","2018-12-20T17:00:27.000Z","New York","Democracy Now!","democracynow",NA,NA,NA,NA
"127",780,"1056678263563735041.jpg","1056678263563735041",4,1,"1056678263563735041",345,1917731,"Campbell Soup executive's departure ""accelerated"" after tweet about George Soros funding migrant caravan https://t.co/KJ3Q2CRE21 https://t.co/SYn8INOUmy","2018-10-28T22:45:04.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"128",781,"1064951539603832832.jpg","1064951539603832832",4,1,"1064951539603832832",168,1917731,"Trump admin paying undercover informants embedded in migrant caravan: report https://t.co/A76CHbVur0 https://t.co/YkUfcmVDUy","2018-11-20T18:40:07.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"129",783,"1057050341114490880_1.jpg","1057050341114490880_1",1,1,"1057050341114490880",1245,110396781,"U.S. Customs and Border Protection police in riot gear are conducting drills on bridges between the U.S. and Mexico in anticipation of a migrant caravan. The bridges are legal ports of entry where people can apply for asylum. https://t.co/2qqvVF5pS2","2018-10-29T23:23:35.000Z",NA,"AJ+","ajplus","News Media","https://www.allsides.com/news-source/aj-media-bias",71,"  Very
Liberal"
"130",795,"1063648858239090688.jpg","1063648858239090688",1,1,"1063648858239090688",4509,39308549,"Tijuana Mayor Denounces ‘Horde’ Of Caravan Migrants, Calls For Swift Deportation https://t.co/IKrdHrxgot https://t.co/nmb1D7OiGP","2018-11-17T04:23:44.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"131",798,"989700939903840256.jpg","989700939903840256",0,1,"989700939903840256",1894,18956073,"Trump campaign fundraises off migrant caravan: ""We need a strong, impenetrable WALL"" https://t.co/CVzL8QJp4H https://t.co/PjToOc9ReN","2018-04-27T03:01:06.000Z","Washington, DC","Washington Examiner","dcexaminer","News Media","https://www.allsides.com/news-source/washington-examiner",74,"Moderate
Conservative"
"132",800,"1054922009384226822.jpg","1054922009384226822",0,1,"1054922009384226822",5390,17469289,"Meet the man behind the migrant caravan headed to US https://t.co/74rWTzaM2l https://t.co/TXl8iWxvYa","2018-10-24T02:26:21.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"133",804,"1118249503503470592.jpg","1118249503503470592",1,1,"1118249503503470592",5061,1209936918,"Migrant caravan advancing toward U.S. from Southern Mexico - https://t.co/oV0C8tYK7X #OANN https://t.co/n1WkMpfjAj","2019-04-16T20:27:12.000Z",NA,"One America News","OANN","News Media","https://www.allsides.com/news-source/one-america-news-network-media-bias",75,"Very
Conservative"
"134",810,"1103685917829562374.jpg","1103685917829562374",3,1,"1103685917829562374",5065,1209936918,"New migrant caravan arrives south of U.S. border - https://t.co/nLLnrLyahh #OANN #MigrantCaravan https://t.co/Ztq8fyZdiA","2019-03-07T15:56:42.000Z",NA,"One America News","OANN","News Media","https://www.allsides.com/news-source/one-america-news-network-media-bias",75,"Very
Conservative"
"135",811,"1053976436925718528.jpg","1053976436925718528",1,1,"1053976436925718528",1839,14662354,"500 caravan members voluntarily return to Honduras: 'There were unruly people, I was disappointed’  https://t.co/Ct7FjLn7Q7 https://t.co/8sWdDo0eIl","2018-10-21T11:48:59.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"136",815,"1119346866670448640.jpg","1119346866670448640",0,1,"1119346866670448640",5059,17469289,"How does a Central American migrant caravan form? https://t.co/azwDaTlgql https://t.co/voQySzrabM","2019-04-19T21:07:44.000Z","New York, NY","New York Post","nypost","News Media","https://www.allsides.com/news-source/new-york-post",74,"Moderate
Conservative"
"137",826,"1059613099332956160.jpg","1059613099332956160",1,1,"1059613099332956160",239,1917731,"Migrant caravan reaches Mexican capital https://t.co/eXPabvYysI https://t.co/MUGPcsLsiM","2018-11-06T01:07:04.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"138",833,"1054860535148072960.jpg","1054860535148072960",2,1,"1054860535148072960",412,1917731,"Trump admin monitoring new migrant caravan forming in El Salvador: report https://t.co/DqVLee3mJW https://t.co/60taTduU4T","2018-10-23T22:22:04.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"139",837,"1067081255358013442.jpg","1067081255358013442",0,1,"1067081255358013442",4481,39308549,"Alexandria Ocasio-Cortez Compares Migrant Caravan To Jews Fleeing Holocaust https://t.co/SjpIHx8TPY https://t.co/hv6gWaEKoP","2018-11-26T15:42:51.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"140",848,"1219002628832669697.jpg","1219002628832669697",3,1,"1219002628832669697",3373,1652541,"Migrant caravan gathers on Guatemala border to enter Mexico en masse https://t.co/02LATgkduj https://t.co/K2mkSkmCoN","2020-01-19T21:04:09.000Z","Around the world","Reuters","Reuters","News Media","https://www.allsides.com/news-source/reuters",73,"Moderate"
"141",849,"1351188863910338561.jpg","1351188863910338561",1,1,"1351188863910338561",22,4081106480,"Biden Team To Migrant Caravan: Now Isn’t A Good Time, Try Coming Later https://t.co/6hsthHJPDf https://t.co/KKwPbdgCGm","2021-01-18T15:25:03.000Z","Nashville, USA","Daily Wire","realDailyWire","News Media","https://www.allsides.com/news-source/daily-wire",75,"Very
Conservative"
"142",851,"1058446164822032384.jpg","1058446164822032384",1,1,"1058446164822032384",799,7309052,"In migrant caravan, kids and parents struggle with long trek https://t.co/5vqDAScuUk https://t.co/4LWQRPcbgw","2018-11-02T19:50:05.000Z","New York City","Yahoo News","YahooNews","News Media","https://www.allsides.com/news-source/yahoo-news-media-bias",72," Moderate
Liberal"
"143",856,"1088528313352507393.jpg","1088528313352507393",2,1,"1088528313352507393",4153,14148802,"A reminder, the Feb. 1 deadline is approaching for our Migrant Voices film challenge. Win $1,000. Win $5,000! https://t.co/2kUIrJvpLr https://t.co/HQ836b5NGm","2019-01-24T20:05:48.000Z","San Diego, CA","The San Diego Union-Tribune","sdut","News Media","https://www.allsides.com/news-source/san-diego-union-tribune-media-bias-0",72," Moderate
Liberal"
"144",857,"1054851721653116928.jpg","1054851721653116928",4,1,"1054851721653116928",2149,9763482,"President Trump admits there's ""no proof"" Middle Easterners are in migrant caravan, contradicting himself and his aides https://t.co/yp8JyW0rPS https://t.co/ZMPeSo1RTY","2018-10-23T21:47:03.000Z","New York / fb.com/nydailynews","New York Daily News","NYDailyNews","News Media","https://www.allsides.com/news-source/new-york-daily-news",71,"  Very
Liberal"
