,author_id,text,id,created_at.x,location,name,username,actor,allsides_url,bias_rating
4984,18247062,"Judicial Watch is on the ground in Guatemala covering the migrant “caravan” heading toward the U.S.

📸: JW’s Director of Investigations Chris Farrell &amp; JW team with Guatemala’s Intel Deputy of Ops, the Secretary for Strategic Intel Mario Duarte, the provincial sheriff, &amp; others. https://t.co/BSju7XT2dc",1054731929554243586,2018-10-23T13:51:02.000Z,"Washington, DC",Judicial Watch ⚖️,JudicialWatch,News Media,https://www.allsides.com/news-source/judicial-watch,74
4985,170254080,"The Central American migrant caravan traveling to the US border highlights the failures of American migration and foreign policy, and dwindling options for refugees to seek safety. We should welcome them with open arms. https://t.co/UyY46B8vdl",1054657932275539969,2018-10-23T08:57:00.000Z,New York City,Jacobin,jacobin,News Media,https://www.allsides.com/news-source/jacobin-media-bias,71
4986,170254080,"The Central American migrant caravan traveling to the US border highlights the failures of American migration and foreign policy, and dwindling options for refugees to seek safety. We should welcome them with open arms. https://t.co/UyY46Bq6BV",1054508885837561858,2018-10-22T23:04:44.000Z,New York City,Jacobin,jacobin,News Media,https://www.allsides.com/news-source/jacobin-media-bias,71
4987,18247062,"JW Prez @TomFitton will be w/ @LouDobbs on @FoxBusiness in the 7PM ET hour tonight (Oct 22nd) to discuss President @realDonaldTrump referring to the migrant caravan as a national emergency, the potential presence of MS-13 in the caravan, &amp; funding of the caravan. Tune in soon! https://t.co/Y1mrI7c9TD",1054501057848639489,2018-10-22T22:33:38.000Z,"Washington, DC",Judicial Watch ⚖️,JudicialWatch,News Media,https://www.allsides.com/news-source/judicial-watch,74
4988,18247062,"NEW: JW is on the ground in Guatemala (with @SaraCarterDC) reporting on the migrant caravan(s) moving north toward the U.S., and JW’s Director of Investigations Chris Farrell reports that the Guatemalan government stopped over 3,500 people, sending many on buses back to Honduras. https://t.co/AXlOSeK5OI",1054461808986202112,2018-10-22T19:57:40.000Z,"Washington, DC",Judicial Watch ⚖️,JudicialWatch,News Media,https://www.allsides.com/news-source/judicial-watch,74
4989,18247062,"JW Prez @TomFitton on @foxandfriends talking about the migrant caravan on its way toward the border: We can’t wait for a wall – we need to deploy the military to secure the border now, given the threat we potentially face from narco-terrorists &amp; MS-13.

👉 https://t.co/56tuYY9HgO https://t.co/vIl36ymFu7",1054445796702216192,2018-10-22T18:54:03.000Z,"Washington, DC",Judicial Watch ⚖️,JudicialWatch,News Media,https://www.allsides.com/news-source/judicial-watch,74
4990,16550142,"You can’t even walk, there’s just so many people': Migrant caravan bound for US swells despite Trump threats https://t.co/et6MBxxu2I https://t.co/hk3HlF2yoL",1054415119872978946,2018-10-22T16:52:09.000Z,"Indianapolis, IN",IndyStar,indystar,News Media,https://www.allsides.com/news-source/indystar-media-bias,73
4991,14511951,"""There is not this massive army of illegal immigrants and these people are not even illegal immigrants,"" conservative columnist Max Boot said of the migrant caravan headed to the border. https://t.co/qdznTwzjLQ",1054384604751249410,2018-10-22T14:50:53.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
4992,14511951,"Trump claims to have ""figured out"" what to do about the migrant caravan but can't tell us 'til after the election 🙄 https://t.co/PdvC02i83K",1054217001311391745,2018-10-22T03:44:54.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
4993,14511951,"Trump claims to have ""figured out"" what to do about the migrant caravan but can't tell us 'til after the election 🙄 https://t.co/rCmr5k25bi",1054008808916348928,2018-10-21T13:57:37.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
